vessel_name,imo,mmsi,callsign,flag,build_year,source,verified_date
Mozah,9337755,538003212,V7PD7,Marshall Islands,2008,VesselFinder,2026-01-24
Aamira,9443401,538003354,V7QG2,Marshall Islands,2009,MarineTraffic,2026-01-24
Al Samriya,9388821,538003295,V7PV3,Marshall Islands,2009,Helderline,2026-01-24
Bu Samra,9388833,538003301,V7PW4,Marshall Islands,2008,MyShipTracking,2026-01-24
Al Mayeda,9397298,538003356,V7QG4,Marshall Islands,2009,VesselFinder,2026-01-24
Mekaines,9397303,538003365,V7QH5,Marshall Islands,2009,MarineTraffic,2026-01-24
Al Mafyar,9397315,538003357,V7QG5,Marshall Islands,2009,VesselFinder,2026-01-24
Umm Slal,9372731,538003300,V7PW3,Marshall Islands,2008,MyShipTracking,2026-01-24
Al Ghuwairiya,9372743,538003293,V7PU9,Marshall Islands,2008,MarineTraffic,2026-01-24
Lijmiliya,9388819,538003294,V7PV2,Marshall Islands,2009,VesselFinder,2026-01-24
Al Dafna,9443683,538003355,V7QG3,Marshall Islands,2009,VesselFinder,2026-01-24
Shagra,9418365,538003348,V7QF4,Marshall Islands,2009,FleetMon,2026-01-24
Zarga,9431214,538003346,V7QF2,Marshall Islands,2010,MarineTraffic,2026-01-24
Rasheeda,9443413,538003362,V7QH2,Marshall Islands,2010,VesselFinder,2026-01-24
